number,cp
1,0.95
2,-0.534
3,-0.441
4,-0.357
5,-0.289
6,-0.229
7,-0.12
8,-0.063
9,0.0
10,0.183
11,0.253
12,0.315
13,0.299
14,0.492
15,0.408
16,0.228
17,-0.049
18,-0.367
19,-0.812
20,-0.701
21,-0.038
22,-0.031
23,-0.041
24,0.92
25,0.738
26,0.43
27,-0.553
28,-0.183
29,-0.157
30,-0.172
31,-0.173
32,-0.164
33,-0.154
34,-0.144
35,-0.132
36,-0.101
37,-0.094
38,-0.209
39,-0.119
40,-0.084
41,-0.06
42,-0.055
43,-0.032
44,-0.952
45,-0.603
46,-0.46
47,-0.371
48,-0.411
49,-0.223
50,-0.266
51,-0.211
52,-0.232
53,-0.266
54,-0.38
55,0.466
56,0.213
57,-0.062
58,-0.376
59,0.394
60,0.147
61,-0.118
62,-0.418
63,0.26
64,-0.05
65,-0.316
107,-0.439
108,-0.437
109,-0.475
110,-0.494
111,-0.458
112,-0.288
113,-0.102
114,-0.036
115,-0.043
116,-0.049
117,-0.023
118,0.009
119,0.046
120,0.082
121,0.083
122,-0.12
123,-0.031
124,-0.034
125,-0.131
126,-0.056
127,-0.027
128,0.099
129,-0.238
130,-0.082
131,0.061
132,0.067
133,-0.665
134,-0.505
191,-2.176
193,-0.048
195,-0.537
196,-0.898
197,-0.369
198,-0.111
199,-0.272
200,-0.184
201,-0.128
202,-0.03
203,-0.723
204,-0.201
205,-0.364
206,-0.177
207,-0.096
208,-0.617
209,-0.549
210,-0.664
211,-0.616
212,-0.566
213,-0.501
214,-0.426
215,-0.375
216,-0.324
217,-0.305
218,-0.246
219,-0.604
220,-0.949
221,-1.278
222,-1.145
223,-0.979
224,-1.311
225,-0.139
226,-0.121
227,-0.111
228,-0.041
229,-0.039
230,-0.169
231,-0.158
232,-0.159
233,-0.082
234,-0.083
259,-0.416
260,-0.462
261,-0.187
262,-0.516
263,-0.607
264,-0.493
265,-0.493
266,-0.584
267,-0.135
268,-0.291
269,-0.269
270,-0.463
271,-0.6
272,-0.657
550,-0.292
551,-0.273
552,-0.335
553,-0.386
554,-0.431
555,-0.097
556,0.19
557,-0.126
558,-0.234
559,-0.185
560,-0.233
561,-0.249
562,-0.264
563,-0.25
564,-0.217
565,-0.227
566,-0.2
567,-0.312
568,-0.246
569,-0.235
570,-0.257
571,-0.276
572,-0.273
573,-0.247
574,-0.229
575,-0.275
600,-0.613
601,-0.268
602,-0.13
603,-0.061
604,-0.283
605,-0.503
606,-0.395
607,-0.445
608,-0.274
609,-0.192
610,-0.03
611,0.041
612,0.043
613,-0.013
614,0.08
615,-0.228
616,-0.216
617,-0.221
618,-0.208
619,-0.164
620,-0.091
621,-0.329
622,-0.22
623,-0.137
624,-0.054
625,-0.76
626,-0.357
627,-0.351
628,-0.208
629,-0.142
630,-0.091
631,-0.295
632,-0.11
633,-0.086
