number,cp
1,0.946
2,-0.544
3,-0.448
4,-0.363
5,-0.293
6,-0.233
7,-0.123
8,-0.066
9,-0.002
10,0.183
11,0.253
12,0.314
13,0.301
14,0.483
15,0.409
16,0.229
17,-0.049
18,-0.366
19,-0.814
20,-0.7
21,-0.023
22,-0.01
23,-0.022
24,0.917
25,0.736
26,0.423
27,-0.568
28,-0.131
29,-0.152
30,-0.174
31,-0.173
32,-0.162
33,-0.152
34,-0.143
35,-0.131
36,-0.098
37,-0.09
38,-0.226
39,-0.145
40,-0.116
41,-0.083
42,-0.08
43,-0.038
44,-0.958
45,-0.608
46,-0.465
47,-0.373
48,-0.407
49,-0.225
50,-0.267
51,-0.21
52,-0.233
53,-0.268
54,-0.381
55,0.462
56,0.213
57,-0.061
58,-0.375
59,0.401
60,0.147
61,-0.118
62,-0.417
63,0.256
64,-0.051
65,-0.316
107,-0.439
108,-0.436
109,-0.474
110,-0.492
111,-0.455
112,-0.29
113,-0.105
114,-0.044
115,-0.047
116,-0.048
117,-0.018
118,0.013
119,0.049
120,0.086
121,0.084
122,-0.077
123,-0.016
124,-0.019
125,-0.129
126,-0.06
127,-0.023
128,0.104
129,-0.235
130,-0.082
131,0.056
132,0.073
133,-0.66
134,-0.506
191,-2.095
193,-0.031
195,-0.547
196,-0.922
197,-0.205
198,-0.146
199,-0.268
200,-0.176
201,-0.125
202,-0.041
203,-0.77
204,-0.221
205,-0.382
206,-0.17
207,-0.088
208,-0.606
209,-0.55
210,-0.67
211,-0.62
212,-0.568
213,-0.502
214,-0.425
215,-0.379
216,-0.327
217,-0.307
218,-0.247
219,-0.608
220,-0.955
221,-1.287
222,-1.152
223,-0.984
224,-1.32
225,-0.144
226,-0.125
227,-0.108
228,-0.028
229,-0.032
230,-0.163
231,-0.15
232,-0.148
233,-0.063
234,-0.066
259,-0.418
260,-0.461
261,-0.183
262,-0.514
263,-0.604
264,-0.491
265,-0.49
266,-0.583
267,-0.135
268,-0.291
269,-0.273
270,-0.458
271,-0.596
272,-0.655
550,-0.417
551,-0.425
552,-0.512
553,-0.439
554,-0.419
555,-0.098
556,-0.123
557,-0.318
558,-0.358
559,-0.305
560,-0.302
561,-0.313
562,-0.335
563,-0.355
564,-0.369
565,-0.323
566,-0.281
567,-0.327
568,-0.295
569,-0.291
570,-0.321
571,-0.335
572,-0.35
573,-0.37
574,-0.321
575,-0.231
600,-0.57
601,-0.23
602,-0.115
603,-0.038
604,-0.275
605,-0.518
606,-0.415
607,-0.464
608,-0.284
609,-0.204
610,-0.035
611,0.04
612,0.047
613,-0.011
614,0.085
615,-0.23
616,-0.219
617,-0.227
618,-0.214
619,-0.167
620,-0.076
621,-0.342
622,-0.235
623,-0.135
624,-0.05
625,-0.711
626,-0.374
627,-0.376
628,-0.214
629,-0.135
630,-0.088
631,-0.309
632,-0.117
633,-0.092
